individualCount,eventID,decimalLatitude,decimalLongitude,vernacularName
75,11500,44.675,-66.603,WHALE-RIGHT
55,11516,44.6545,-66.459166,WHALE-RIGHT
40,118800,44.932333,-66.636166,WHALE-RIGHT
40,118128,44.599833,-66.407833,WHALE-RIGHT
40,118798,44.923333,-66.709666,WHALE-RIGHT
40,23433,44.679,-66.3775,WHALE-RIGHT
40,11435,44.658,-66.4895,WHALE-RIGHT
39,11421,44.74,-66.420166,WHALE-RIGHT
37,11427,44.786,-66.7235,WHALE-RIGHT
36,11456,44.575833,-66.603,WHALE-RIGHT
36,11440,44.719,-66.6875,WHALE-RIGHT
35,122637,42.35,-66.56,WHALE-RIGHT
33,11538,44.678333,-66.536666,WHALE-RIGHT
33,11465,44.618833,-66.639,WHALE-RIGHT
30,23431,44.661833,-66.387333,WHALE-RIGHT
30,118057,44.910666,-66.706,WHALE-RIGHT
30,23432,44.659833,-66.390333,WHALE-RIGHT
30,11473,44.670166,-66.615,WHALE-RIGHT
30,7411,44.737333,-66.433833,WHALE-RIGHT
29,11534,44.704833,-66.618333,WHALE-RIGHT
27,121677,42.155,-66.04,WHALE-RIGHT
26,11444,44.702,-66.6855,WHALE-RIGHT
25,121678,42.155,-66.04,WHALE-RIGHT
25,122592,47.7896,-64.0211,WHALE-RIGHT
25,118699,44.932166,-66.864666,WHALE-RIGHT
25,118702,44.919166,-66.691166,WHALE-RIGHT
25,118695,44.915333,-66.7145,WHALE-RIGHT
24,2296,44.661666,-66.667,WHALE-RIGHT
21,11549,44.890833,-66.822833,WHALE-RIGHT
20,118061,44.901666,-66.688,WHALE-RIGHT
20,118697,44.945166,-66.654666,WHALE-RIGHT
20,39474,44.593166,-66.464333,WHALE-RIGHT
20,118075,44.922333,-66.676833,WHALE-RIGHT
20,23429,44.6045,-66.502333,WHALE-RIGHT
20,23430,44.679,-66.379666,WHALE-RIGHT
20,6705,44.683333,-66.366666,WHALE-RIGHT
18,67925,44.657833,-66.452833,WHALE-RIGHT
18,36924,44.491166,-66.532166,WHALE-RIGHT
17,118701,44.973833,-66.633833,WHALE-RIGHT
17,7006,41.17,-68.52,WHALE-RIGHT
16,119641,45.5075,-58.195833,WHALE-RIGHT
16,11491,44.6895,-66.604333,WHALE-RIGHT
15,23428,44.674166,-66.3735,WHALE-RIGHT
15,67897,44.711833,-66.552333,WHALE-RIGHT
15,67926,44.669666,-66.4715,WHALE-RIGHT
15,67887,44.713666,-66.543333,WHALE-RIGHT
15,69472,44.596,-66.5705,WHALE-RIGHT
15,69471,44.6175,-66.569,WHALE-RIGHT
15,69462,44.6075,-66.558833,WHALE-RIGHT
15,118705,44.898166,-66.666333,WHALE-RIGHT
15,23427,44.6655,-66.536333,WHALE-RIGHT
15,19064,44.66,-66.531666,WHALE-RIGHT
15,7412,44.677333,-66.437666,WHALE-RIGHT
15,8698,44.399666,-66.592166,WHALE-RIGHT
15,8526,44.6875,-66.4735,WHALE-RIGHT
15,3026,44.627333,-66.409333,WHALE-RIGHT
14,124446,44.43967,-66.441,WHALE-RIGHT
14,23426,44.6525,-66.446166,WHALE-RIGHT
14,11480,44.789,-66.719666,WHALE-RIGHT
13,67924,44.653833,-66.461166,WHALE-RIGHT
13,11469,44.6375,-66.636666,WHALE-RIGHT
13,8609,44.641666,-66.4985,WHALE-RIGHT
13,8611,44.643833,-66.494833,WHALE-RIGHT
13,8531,44.700833,-66.4895,WHALE-RIGHT
13,7005,41.34,-68.37,WHALE-RIGHT
12,122659,42.181667,-66.203333,WHALE-RIGHT
12,121684,48.01098,-63.7126,WHALE-RIGHT
12,89145,44.683333,-66.516666,WHALE-RIGHT
12,67881,44.689,-66.567666,WHALE-RIGHT
12,23425,44.5815,-66.505166,WHALE-RIGHT
12,14864,43.133333,-64.933333,WHALE-RIGHT
12,11525,44.606,-66.622833,WHALE-RIGHT
12,8372,41.433333,-66.016666,WHALE-RIGHT
12,8360,44.623666,-66.4,WHALE-RIGHT
12,8619,44.632666,-66.489,WHALE-RIGHT
12,8606,44.659166,-66.480166,WHALE-RIGHT
12,8560,44.7045,-66.4805,WHALE-RIGHT
12,3024,44.627666,-66.393666,WHALE-RIGHT
11,39508,44.636833,-66.528,WHALE-RIGHT
11,23421,44.5695,-66.4665,WHALE-RIGHT
11,23423,44.665166,-66.5375,WHALE-RIGHT
11,83383,42.949833,-60.986333,WHALE-RIGHT
11,67930,44.722666,-66.436166,WHALE-RIGHT
11,69752,44.654833,-66.4535,WHALE-RIGHT
