individualCount,decimalLatitude,decimalLongitude,vernacularName
52,42.53411,-64.56833,DOLPHINS-WHITE-SIDED
1,43.10355,-63.59719,OCEAN SUNFISH
1,42.83189,-64.86114,WHALE-HUMPBACK
1,42.61365,-65.55335,WHALE-HUMPBACK
3,42.96426,-65.62247,PORPOISE-HARBOUR
1,42.28193,-66.29875,SHARK-BASKING
1,43.60396,-63.6877,OCEAN SUNFISH
30,43.08488,-64.0418,WHALE- LONG-FINNED PILOT
30,43.01837,-64.04885,DOLPHINS (NS)
5,42.36275,-66.37931,DOLPHINS-STRIPED
40,43.12299,-63.47655,DOLPHINS (NS)
1,42.75924,-64.04346,OCEAN SUNFISH
1,43.92781,-63.03638,CETACEAN (NS)
1,42.96232,-65.23128,SHARK-BASKING
1,42.84677,-64.87849,SHARK-BASKING
2,42.85428,-65.21044,OCEAN SUNFISH
1,43.64301,-63.66234,OCEAN SUNFISH
1,42.97265,-64.76833,OCEAN SUNFISH
1,43.63994,-63.93585,OCEAN SUNFISH
1,42.84924,-65.38776,OCEAN SUNFISH
1,44.0211,-63.08184,OCEAN SUNFISH
1,43.76993,-63.91988,OCEAN SUNFISH
1,43.78273,-63.57168,OCEAN SUNFISH
1,43.08991,-65.15732,CETACEAN (NS)
1,42.84898,-64.8203,WHALE-HUMPBACK
25,43.11604,-62.47143,DOLPHINS-STRIPED
1,42.21709,-66.49843,OCEAN SUNFISH
1,42.86224,-64.8231,WHALE-HUMPBACK
1,42.8806,-64.82591,WHALE-FIN
1,42.95886,-62.12993,CETACEAN (NS)
30,42.92457,-64.04697,DOLPHINS (NS)
1,43.01546,-64.81751,OCEAN SUNFISH
1,43.18339,-65.01106,OCEAN SUNFISH
1,43.52532,-64.26098,OCEAN SUNFISH
1,42.10505,-66.79638,SHARKS (NS)
1,43.81408,-63.94864,OCEAN SUNFISH
2,42.14699,-66.45948,DOLPHINS-COMMON
1,42.86011,-64.89387,DOLPHINS (NS)
1,43.86012,-63.97991,OCEAN SUNFISH
5,42.229,-66.70513,DOLPHINS-STRIPED
1,43.62574,-64.17413,OCEAN SUNFISH
1,42.8404,-64.8186,WHALE-FIN
1,42.40934,-66.61058,DOLPHINS-STRIPED
30,43.07805,-63.05366,CETACEAN (NS)
1,43.06666,-65.13142,OCEAN SUNFISH
1,43.57741,-64.2054,OCEAN SUNFISH
1,43.38224,-63.09281,OCEAN SUNFISH
12,42.91852,-65.60945,DOLPHINS-WHITE-BEAKED
1,42.22653,-66.3299,WHALE-MINKE
5,42.81061,-64.29291,DOLPHINS (NS)
1,42.20233,-66.69021,SHARK-BASKING
50,42.89439,-63.59295,DOLPHINS-WHITE-SIDED
3,43.85409,-64.02517,OCEAN SUNFISH
1,43.65019,-63.93238,OCEAN SUNFISH
1,42.85513,-65.39449,SHARK-BASKING
1,43.39148,-63.48747,OCEAN SUNFISH
1,43.82196,-64.0462,OCEAN SUNFISH
1,43.47439,-63.4662,WHALE-FIN
3,42.40468,-66.83751,WHALE-SEI
1,42.71412,-64.15361,OCEAN SUNFISH
1,42.91068,-65.0265,OCEAN SUNFISH
10,42.84677,-64.87849,DOLPHINS (NS)
1,42.5369,-64.57129,CETACEAN (NS)
15,42.82048,-64.30752,DOLPHINS-WHITE-SIDED
1,45.19058,-60.89804,SEATURTLE-LEATHERBACK
30,43.05703,-63.97808,DOLPHINS-WHITE-SIDED
3,42.81104,-65.59126,DOLPHINS (NS)
20,42.4108,-66.61526,DOLPHINS-STRIPED
1,42.97744,-65.5424,SHARK-BASKING
1,42.97188,-64.84333,OCEAN SUNFISH
1,43.9621,-63.0282,WHALE-FIN
1,43.33798,-63.37726,OCEAN SUNFISH
1,45.64346,-60.21211,OCEAN SUNFISH
1,42.92017,-64.63792,WHALE-MINKE
1,44.21306,-63.50021,OCEAN SUNFISH
1,43.84157,-67.93613,SHARK-BASKING
1,42.74591,-64.49679,OCEAN SUNFISH
1,43.55385,-63.46984,OCEAN SUNFISH
10,44.76986,-61.19631,DOLPHINS (NS)
10,42.82142,-64.30896,DOLPHINS-WHITE-SIDED
1,42.17649,-67.07558,WHALE-SPERM
10,42.95766,-65.62136,PORPOISE-HARBOUR
1,42.88247,-64.82616,CETACEAN (NS)
1,42.99363,-65.23727,WHALE-MINKE
1,45.00863,-60.02012,FALSE KILLER WHALE
1,42.89198,-62.67447,CETACEAN (NS)
15,42.82811,-64.31912,DOLPHINS (NS)
20,42.99997,-64.04852,DOLPHINS-WHITE-SIDED
1,43.88661,-63.85077,OCEAN SUNFISH
1,42.74111,-64.04286,OCEAN SUNFISH
5,42.98246,-63.38485,WHALE- LONG-FINNED PILOT
2,42.86979,-64.82447,WHALE-FIN
1,42.8259,-64.04486,OCEAN SUNFISH
1,43.02412,-64.57392,OCEAN SUNFISH
1,45.73336,-60.18407,OCEAN SUNFISH
8,42.5992,-64.66235,DOLPHINS (NS)
4,42.98421,-63.38601,WHALE- LONG-FINNED PILOT
2,43.54696,-63.72462,DOLPHINS (NS)
1,43.23436,-63.31056,WHALE-MINKE
1,42.75325,-64.49689,OCEAN SUNFISH
1,43.09805,-63.04018,DOLPHINS (NS)
2,42.97959,-65.54347,OCEAN SUNFISH
15,42.15696,-67.369,DOLPHINS-STRIPED
1,45.08332,-60.41475,OCEAN SUNFISH
7,42.26646,-66.72584,DOLPHINS-STRIPED
1,42.94847,-62.86234,WHALE-HUMPBACK
1,42.99621,-65.3032,WHALE-MINKE
1,43.06594,-64.05007,DOLPHINS (NS)
1,44.31861,-63.50177,OCEAN SUNFISH
1,42.88089,-65.02141,OCEAN SUNFISH
1,43.04587,-65.10751,OCEAN SUNFISH
1,42.14698,-66.65922,OCEAN SUNFISH
1,42.78173,-65.31032,OCEAN SUNFISH
1,43.90955,-67.95348,SHARK-BASKING
10,42.82227,-63.63306,DOLPHINS-WHITE-SIDED
2,42.8834,-64.82628,WHALE-HUMPBACK
1,43.98249,-63.81762,OCEAN SUNFISH
1,42.884,-63.59291,OCEAN SUNFISH
10,42.81483,-65.34841,WHALE-BEAKED (NS)
1,43.96734,-63.02255,OCEAN SUNFISH
1,42.7953,-65.00391,OCEAN SUNFISH
1,42.72776,-64.17116,DOLPHINS (NS)
1,42.86507,-64.82365,WHALE-FIN
2,44.19767,-63.50001,OCEAN SUNFISH
1,44.20394,-63.50003,OCEAN SUNFISH
1,43.14932,-64.97197,WHALE-HUMPBACK
5,43.07649,-65.25317,DOLPHINS (NS)
1,45.28629,-60.36907,SEATURTLE-LEATHERBACK
1,43.14136,-63.00955,OCEAN SUNFISH
1,43.01182,-64.55952,DOLPHINS (NS)
1,42.75833,-64.04345,OCEAN SUNFISH
1,42.80165,-65.39629,OCEAN SUNFISH
1,42.6868,-64.79109,OCEAN SUNFISH
1,43.0252,-65.08343,SHARK-BASKING
1,43.15614,-64.68325,OCEAN SUNFISH
1,42.97154,-64.51418,OCEAN SUNFISH
8,42.82289,-63.63397,DOLPHINS-WHITE-SIDED
1,42.32497,-66.89778,SHARK-BASKING
1,43.19732,-63.28673,WHALE-HUMPBACK
2,43.84332,-63.03246,WHALE-HUMPBACK
100,42.87298,-64.38517,DOLPHINS (NS)
2,42.75124,-65.19085,DOLPHINS (NS)
1,42.61413,-64.68423,OCEAN SUNFISH
1,43.01003,-64.5575,OCEAN SUNFISH
2,43.97543,-63.01938,OCEAN SUNFISH
2,42.892,-65.68101,PORPOISE-HARBOUR
1,42.62967,-65.5571,OCEAN SUNFISH
1,43.24072,-62.81469,OCEAN SUNFISH
1,42.76615,-64.04352,OCEAN SUNFISH
15,43.0245,-64.04902,DOLPHINS-WHITE-SIDED
1,42.85943,-63.30511,CETACEAN (NS)
1,43.50491,-63.74729,SHARK-BASKING
1,43.06399,-65.0557,OCEAN SUNFISH
3,42.82519,-64.85215,CETACEAN (NS)
50,43.52246,-63.24011,CETACEAN (NS)
2,44.02089,-63.4971,OCEAN SUNFISH
1,43.85883,-63.8604,OCEAN SUNFISH
1,43.74628,-64.09576,OCEAN SUNFISH
2,43.84999,-63.52744,OCEAN SUNFISH
50,43.98265,-63.05778,DOLPHINS-COMMON
7,42.81266,-65.3459,CETACEAN (NS)
1,43.34156,-63.87964,OCEAN SUNFISH
2,43.96103,-63.03036,DOLPHINS (NS)
